Family,Species,Type,Locality,a,b
Carangidae,Chloroscombrus chrysurus,TL,"Bragança Paulista, Pará, 1999-2001",0.0378,2.5266
Carangidae,Chloroscombrus chrysurus,TL,"Southeastern region, 1995-1996",0.0202,2.66
Carangidae,Chloroscombrus chrysurus,TL,Parana´ state coast / 2004 - 2005,0.00912,2.83
Carangidae,Chloroscombrus chrysurus,TL,Grand Cul-de-Sac Marin Bay.,0.0077,3.075
Carangidae,Chloroscombrus chrysurus,TL,Southeastern coast / 2004-2006.,0.01103,2.962
Carangidae,Chloroscombrus chrysurus,TL,Southeastern coast / 2004-2006.,0.01815,2.71
Carangidae,Chloroscombrus chrysurus,TL,Southeastern coast / 2004-2006.,0.01829,2.694
Carangidae,Chloroscombrus chrysurus,TL,Ubatuba-Enseada Bay / 2003-2004,0.057,3.321
Carangidae,Chloroscombrus chrysurus,TL,Piraque-acu and Piraque-mirim rivers / 2008-2009.,0.0176,2.76
Carangidae,Chloroscombrus chrysurus,TL,Pernambuco / 2011-2014.,0.0111,2.93
Carangidae,Chloroscombrus chrysurus,TL,North Rio de Janeiro / 1996-2017.,0.0302,2.53
Carangidae,Chloroscombrus chrysurus,TL,Cotonou/2014,0.005,3.141
Carangidae,Chloroscombrus chrysurus,TL,Cotonou/2014,0.007,3.27
Carangidae,Chloroscombrus orqueta,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.004,3.229
Carangidae,Chloroscombrus orqueta,TL,Barra de Navidad lagoon / 2002-2003,0.0043,3.23
Carangidae,Chloroscombrus orqueta,TL,Bahia de Matanchen / 2013-2014,0.0197,2.638
Ophidiidae,Cherublemma emmelas,TL,Gulf of California / 2005-2007,3.00E-04,3.1765
Ophidiidae,Cherublemma emmelas,TL,Gulf of California / 2005-2007,0.03508,2.2441
Pomacentridae,Chromis crusma,TL,Northern and central coast of Chile/ 2004-2005; 2012-2013.,0.0278,2.826
Haemulidae,Conodon nobilis,TL,"Southeastern region, 1995-1996",0.0147,2.99
Haemulidae,Conodon nobilis,TL,southern Bahia / 2003-2005,0.0052,3.398
Haemulidae,Conodon nobilis,TL,Parana´ state coast / 2004 - 2005,0.00649,3.09
Haemulidae,Conodon nobilis,TL,Southeastern coast / 2004-2006.,0.00687,3.288
Haemulidae,Conodon nobilis,TL,Pernambuco / 2011-2014.,0.0093,3.16
Haemulidae,Conodon nobilis,TL,Pernambuco / 2011-2014.,0.0134,3.02
Haemulidae,Conodon nobilis,TL,Pernambuco / 2011-2014.,0.0096,3.14
Haemulidae,Conodon nobilis,TL,Alagoas/2009-2012,0.014,3.01
Haemulidae,Conodon nobilis,TL,Alagoas/2009-2012,0.02,2.89
Haemulidae,Conodon serrifer,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.071,2.372
Haemulidae,Conodon serrifer,TL,continental coast / 2012-2014,0.0134,2.9443
Priacanthidae,Cookeolus japonicus,TL,NA,0.0143,3
Priacanthidae,Cookeolus japonicus,TL,East China Sea / 2009-2013,0.0469,2.7
Sciaenidae,Corvula macrops,TL,"Jalisco and Colima, 1995-96",0.0095,3.16
Scaridae,Cryptotomus roseus,TL,Grand Cul-de-Sac Marin Bay (Guadelopue) and Bay of Fort-de-France (Martinique),0.0078,3.2752
Scaridae,Cryptotomus roseus,TL,"Northeast Brazilian continental shelf / 2015, 2017.",0.0051,3.41
Gobiidae,Coryphopterus glaucofraenum,TL,Southern Florida,0.0131,2.967
Gobiidae,Coryphopterus glaucofraenum,TL,Southwest Zone,0.0165,2.68
Gobiidae,Coryphopterus glaucofraenum,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.00934,3.03
Gobiidae,Coryphopterus urospilus,TL,"Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003",0.00616,3.314
Acanthuridae,Ctenochaetus marginatus,TL,Northern Line Islands / 2006-2011.,0.02291,2.941
Gobiidae,Ctenogobius boleosoma,TL,"Praia dos Castelhanos, Espírito Santo, 2005-07",0.00808,2.97
Gobiidae,Ctenogobius boleosoma,TL,"Marica, Sacuarema, Araruama coastal lagoons, South western Brazil / 2011.",0.005,3.136
Gobiidae,Ctenogobius boleosoma,TL,Guaratiba Mangrove / 2002-2003,0.0078,2.87
Gobiidae,Ctenogobius boleosoma,TL,Pernambuco / 2011-2014.,0.005,3.13
Gobiidae,Ctenogobius sagittula,TL,Barra de Navidad lagoon / 2002-2003,0.0066,2.8
Gobiidae,Ctenogobius smaragdus,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004.",0.004,3.08
Sciaenidae,Ctenosciaena gracilicirrhus,TL,Rio Grande do Sul (28°-34°S),0.01378,3.003
Sciaenidae,Ctenosciaena gracilicirrhus,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00941,3.126
Sciaenidae,Ctenosciaena gracilicirrhus,TL,"Southeastern region, 1995-1996",0.0184,2.84
Sciaenidae,Ctenosciaena gracilicirrhus,TL,Parana´ state coast / 2004 - 2005,0.0047,3.25
Sciaenidae,Ctenosciaena gracilicirrhus,TL,Southeastern coast / 2004-2006.,0.00704,3.253
Sciaenidae,Ctenosciaena gracilicirrhus,TL,Southeastern coast / 2004-2006.,0.00968,3.132
Sciaenidae,Ctenosciaena gracilicirrhus,TL,Southeastern coast / 2004-2006.,0.00674,3.264
Sciaenidae,Ctenosciaena gracilicirrhus,TL,Sergipe / 2015-2016.,0.00631,3.302
Sciaenidae,Cynoscion acoupa,TL,NA,0.0136,3
Sciaenidae,Cynoscion acoupa,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004.",0.0081,2.99
Sciaenidae,Cynoscion acoupa,TL,"Pará (0°S - 25°S), 2003-2004",0.00444,3.2
Sciaenidae,Cynoscion acoupa,TL,"Ilha de Paciência, Maranhão, 2006-2007",0.0107,3.03
Sciaenidae,Cynoscion albus,TL,NA,0.024,2.824
Sciaenidae,Cynoscion albus,TL,continental coast / 2012-2014,0.0064,3.1267
Sciaenidae,Cynoscion analis,TL,Central coast / 2012-2018.,0.008,3.073
Sciaenidae,Cynoscion jamaicensis,TL,Southern region (24°30'S),0.013,2.98
Sciaenidae,Cynoscion jamaicensis,TL,Rio Grande do Sul (28°-34°S),0.00729,3.148
Sciaenidae,Cynoscion jamaicensis,TL,"Southeastern region (São Sebastião System), São Paulo, 1997",0.00738,3.141
Sciaenidae,Cynoscion jamaicensis,TL,"southeastern coast, 1997-98",0.00781,3.14
Sciaenidae,Cynoscion jamaicensis,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004.",0.0089,2.96
